Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
16,2021,Philadelphia Eagles (PHI),29,12,4,11,5,0,0,17,111.0,6.5,29.7%
15,2020,Philadelphia Eagles (PHI),49,8,11,12,2,1,1,16,103.0,6.4,29.7%
15,2019,Philadelphia Eagles (PHI),43,11,9,15,3,0,0,16,113.0,7.1,29.7%
23,2018,Philadelphia Eagles (PHI),44,10,7,12,0,0,0,16,97.0,6.1,29.7%
3,2017,Philadelphia Eagles (PHI),38,19,11,12,5,0,0,16,166.0,10.4,29.7%
7,2016,Philadelphia Eagles (PHI),34,16,10,12,3,1,2,16,128.0,8.0,29.7%
13,2015,Philadelphia Eagles (PHI),37,15,11,17,4,1,3,16,119.0,7.4,29.7%
2,2014,Philadelphia Eagles (PHI),49,12,16,22,4,0,6,16,159.0,9.9,29.7%
12,2013,Philadelphia Eagles (PHI),37,19,12,11,2,2,0,16,122.0,7.6,29.7%
32,2012,Philadelphia Eagles (PHI),30,8,5,9,0,0,1,16,54.0,3.4,29.7%
6,2011,Philadelphia Eagles (PHI),50,15,9,9,4,1,0,16,145.0,9.1,29.7%
13,2010,Philadelphia Eagles (PHI),39,23,11,10,2,0,1,16,129.0,8.1,29.7%
5,2009,Philadelphia Eagles (PHI),44,25,13,11,4,2,2,16,162.0,10.1,29.7%
3,2008,Philadelphia Eagles (PHI),48,15,14,20,5,1,2,16,207.0,12.9,29.7%
25,2007,Philadelphia Eagles (PHI),37,11,8,10,0,0,0,16,163.0,10.2,29.7%
7,2006,Philadelphia Eagles (PHI),40,19,10,18,5,0,0,16,153.0,9.6,29.7%
23,2005,Philadelphia Eagles (PHI),29,17,10,18,2,0,0,16,110.0,6.9,29.7%
7,2004,Philadelphia Eagles (PHI),47,17,11,17,2,0,0,16,153.0,9.6,29.7%
16,2003,Philadelphia Eagles (PHI),38,13,13,16,1,1,2,16,125.0,7.8,29.7%
2,2002,Philadelphia Eagles (PHI),56,15,22,26,3,0,1,16,191.0,11.9,29.7%
