Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
46,2019,Sebastian Janikowski (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,20.0%
13,2018,Sebastian Janikowski (FA),22,27,81.5,56,0,2,9,8,3,48,51,16,128.0,8.0,20.0%
11,2016,Sebastian Janikowski (FA),29,35,82.9,56,1,9,6,10,3,37,39,16,140.0,8.8,20.0%
21,2015,Sebastian Janikowski (FA),21,26,80.8,56,0,7,5,5,4,38,39,16,114.0,7.1,20.0%
27,2014,Sebastian Janikowski (FA),19,22,86.4,57,0,2,5,9,3,28,28,16,100.0,6.3,20.0%
26,2013,Sebastian Janikowski (FA),21,30,70.0,53,0,6,4,8,3,37,37,16,114.0,7.1,20.0%
12,2012,Sebastian Janikowski (FA),31,34,91.2,57,1,9,10,5,6,25,25,16,135.0,8.4,20.0%
3,2011,Sebastian Janikowski (FA),31,35,88.6,63,1,8,5,10,7,36,36,15,153.0,10.2,20.0%
2,2010,Sebastian Janikowski (FA),33,41,80.5,59,0,3,9,2,5,43,43,16,112.0,7.0,20.0%
32,2009,Sebastian Janikowski (FA),26,29,89.7,61,0,0,0,0,0,17,17,16,17.0,1.1,20.0%
28,2008,Sebastian Janikowski (FA),24,30,80.0,57,0,0,0,0,0,18,18,16,18.0,1.1,20.0%
19,2007,Sebastian Janikowski (FA),23,32,71.9,54,0,0,0,0,0,16,16,16,16.0,1.0,20.0%
32,2006,Sebastian Janikowski (FA),18,25,72.0,55,0,0,0,0,0,16,16,16,16.0,1.0,20.0%
19,2005,Sebastian Janikowski (FA),20,30,66.7,49,0,0,0,0,0,30,30,16,30.0,1.9,20.0%
21,2004,Sebastian Janikowski (FA),25,28,89.3,52,0,0,0,0,0,31,31,16,31.0,1.9,20.0%
22,2003,Sebastian Janikowski (FA),22,25,88.0,55,0,0,0,0,0,28,29,16,28.0,1.8,20.0%
2,2002,Sebastian Janikowski (FA),26,33,78.8,51,0,0,0,0,0,50,50,16,50.0,3.1,20.0%
